PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3,1,0.2711736617240512,1,0,0.014151057562208049,2
2,1,1,0,0.4722292033174164,1,0,0.13913573538264068,0
3,1,3,0,0.32143754712239253,0,0,0.015468569817999833,2
4,1,1,0,0.4345312892686604,1,0,0.10364429745562033,2
5,0,3,1,0.4345312892686604,0,0,0.015712553569072387,2
6,0,3,1,0.34656948982156316,0,0,0.01650950209357577,1
7,0,1,1,0.6732847449107816,0,0,0.10122885832000206,2
8,0,3,1,0.01985423473234481,3,1,0.04113566043083236,2
9,1,3,0,0.33400351847197784,0,2,0.021730754366528396,2
10,1,2,0,0.17064589092736868,1,0,0.058694292654020104,0
11,1,3,0,0.04498617743151546,1,1,0.03259622914329302,2
12,1,1,0,0.723548630309123,0,0,0.051822148727810165,2
13,0,3,1,0.24604171902488062,0,0,0.015712553569072387,2
14,0,3,1,0.4847951746670017,1,5,0.06104473451835265,2
15,0,3,0,0.17064589092736868,0,0,0.015330377421392339,2
16,1,2,0,0.685850716260367,0,0,0.03122992013728673,2
17,0,3,1,0.01985423473234481,4,1,0.05684821399990475,1
18,1,2,1,0.34656948982156316,0,0,0.025374310111545468,2
19,0,3,0,0.38426740387031916,1,0,0.03513366015444757,2
20,1,3,0,0.34656948982156316,0,0,0.014102260811993537,0
21,0,2,1,0.4345312892686604,0,0,0.050748620223090936,2
22,1,2,1,0.4219653179190751,0,0,0.025374310111545468,2
23,1,3,0,0.18321186227695402,0,0,0.015671954672893913,1
24,1,1,1,0.34656948982156316,0,0,0.06929138530460494,2
25,0,3,0,0.09525006282985675,3,1,0.04113566043083236,2
26,1,3,0,0.4722292033174164,1,5,0.06126431989431795,2
27,0,3,1,0.34656948982156316,0,0,0.014102260811993537,0
28,0,1,1,0.2334757476752953,3,2,0.5133418122566507,2
29,1,3,0,0.34656948982156316,0,0,0.01537917417160685,1
30,0,3,1,0.34656948982156316,0,0,0.015411575213749286,2
31,0,1,1,0.49736114601658704,0,0,0.05410739813385612,0
32,1,1,0,0.34656948982156316,1,0,0.2859895551532101,0
33,1,3,0,0.34656948982156316,0,0,0.015126992566498259,1
34,0,2,1,0.8240764011058055,0,0,0.020494635090094415,2
35,0,1,1,0.34656948982156316,1,0,0.16038672010106003,0
36,0,1,1,0.5224930887157577,1,0,0.10149724044618187,2
37,1,3,1,0.34656948982156316,0,0,0.014110458666029575,0
38,0,3,1,0.2586076903744659,0,0,0.015712553569072387,2
39,0,3,0,0.22090977632571,2,0,0.03513366015444757,2
40,1,3,0,0.17064589092736868,1,0,0.021942337075458514,0
41,0,3,0,0.49736114601658704,1,0,0.018493968331299484,2
42,0,2,0,0.33400351847197784,1,0,0.04098927018018883,2
43,0,3,1,0.34656948982156316,0,0,0.015411575213749286,0
44,1,2,0,0.032420206081930136,1,2,0.08115719346076702,0
45,1,3,0,0.2334757476752953,0,0,0.01537917417160685,1
46,0,3,1,0.34656948982156316,0,0,0.015712553569072387,2
47,0,3,1,0.34656948982156316,1,0,0.030253985132996517,1
48,1,3,0,0.34656948982156316,0,0,0.015126992566498259,1
49,0,3,1,0.34656948982156316,2,0,0.04231498029001666,0
50,0,3,0,0.22090977632571,1,0,0.034743286152731485,2
51,0,3,1,0.08268409148027142,4,1,0.07746484096553544,2
52,0,3,1,0.2586076903744659,0,0,0.01522458606692728,2
53,1,1,0,0.610454888162855,1,0,0.1497654242623688,0
54,1,2,0,0.35913546117114853,1,0,0.050748620223090936,2
55,0,1,1,0.8115104297562202,0,1,0.1209753416358076,0
56,1,1,1,0.34656948982156316,0,0,0.06929138530460494,2
57,1,2,0,0.2586076903744659,0,0,0.020494635090094415,2
58,0,3,1,0.35285247549635584,0,0,0.014110458666029575,0
59,1,2,0,0.05755214878110078,1,2,0.05416439273810667,2
60,0,3,1,0.1329479768786127,5,2,0.09154270340242172,2
61,0,3,1,0.2711736617240512,0,0,0.014110458666029575,0
62,1,1,0,0.4722292033174164,0,0,0.15614960068643363,2
63,0,1,1,0.5601910027645137,1,0,0.16293234896625058,2
64,0,3,1,0.04498617743151546,3,2,0.05445717323939373,2
65,0,1,1,0.34656948982156316,0,0,0.05410739813385612,0
66,1,3,1,0.34656948982156316,1,1,0.029757819776815374,0
